"routes3.shipmentorigindesc";"routes3.Latitude.x";"routes3.Longitude.x";"routes3.shipmentdestinationdesc";"routes3.Latitude.y";"routes3.Longitude.y"
"2643";"UPS-SCS Burlington";43.32552;-79.799032;"Canada";56.130366;-106.346771
"2655";"Mirabel France";44.144405;1.419822;"Canada";56.130366;-106.346771
"2672";"West Point - Bldg 56";40.209052;-75.296471;"Canada";56.130366;-106.346771
"2678";"BELGIUM - MSD Heist op den Bergh";51.339918;3.239687;"Canada";56.130366;-106.346771
"2695";"Duluth OFC";46.786672;-92.100485;"Canada";56.130366;-106.346771
"2711";"MSD Singapore West";1.283333333;103.85;"Canada";56.130366;-106.346771
"2740";"USA - FL Miami Lakes";25.908706;-80.308662;"Canada";56.130366;-106.346771
"2772";"IRELAND - MSD Swords";53.31666667;-6.233333;"Canada";56.130366;-106.346771
"2805";"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598;"CANADA - (Bayer) Pointe-Claire";45.41666667;-75.7
"2809";"MSD Singapore West";1.283333333;103.85;"CANADA - (Bayer) Pointe-Claire";45.41666667;-75.7
"2845";"Las Piedras";-34.85;-56.166667;"CANADA - (Bayer) Pointe-Claire";45.41666667;-75.7
"2855";"MSD Singapore West";1.283333333;103.85;"CANADA - (DelMar Chem) Montreal";45.41666667;-75.7
"2856";"Wilson NC";35.721269;-77.91554;"CANADA - (LSU) Quebec";47.721403;-85.77933
"2874";"CANADA - (Bayer) Pointe-Claire";45.41666667;-75.7;"CANADA - (LSU) Quebec";47.721403;-85.77933
"2876";"USA  NH (Lonza) Portsmouth";43.071755;-70.762553;"CANADA - (LSU) Quebec";47.721403;-85.77933
"2912";"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598;"CANADA - (LSU) Quebec";47.721403;-85.77933
"2938";"IRELAND - MSD Swords";53.31666667;-6.233333;"CANADA - (LSU) Quebec";47.721403;-85.77933
"2974";"West Point - Bldg 56";40.209052;-75.296471;"CANADA - (LSU) Quebec";47.721403;-85.77933
"3044";"CANADA - (LSU) Quebec";47.721403;-85.77933;"CANADA - (MF) Montreal";45.41666667;-75.7
"3065";"Wilson NC";35.721269;-77.91554;"Chile";-33.45;-70.666667
"3067";"MSD Haarlem";52.387388;4.646219;"Chile";-33.45;-70.666667
"3068";"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598;"Chile";-33.45;-70.666667
"3069";"IRELAND - MSD Swords";53.31666667;-6.233333;"Chile";-33.45;-70.666667
"3072";"NETHERLANDS - MSD Oss";51.76118;5.514048;"Chile";-33.45;-70.666667
"3077";"NETHERLANDS - (Movianto) Oss";51.76118;5.514048;"Chile";-33.45;-70.666667
"3079";"Cramlington UK";55.086136;-1.5808;"Chile";-33.45;-70.666667
"3103";"West Point - Bldg 56";40.209052;-75.296471;"Chile";-33.45;-70.666667
"3104";"Durham NC";35.994033;-78.898619;"Chile";-33.45;-70.666667
"3121";"MSD Campinas Brazil";-22.909938;-47.062633;"Chile";-33.45;-70.666667
"3122";"Mirabel France";44.144405;1.419822;"Chile";-33.45;-70.666667
"3171";"MSD Argentina";-34.58333333;-58.666667;"Chile";-33.45;-70.666667
"3185";"USA - GA Suwanee OFC";34.05149;-84.0713;"Chile";-33.45;-70.666667
"3209";"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598;"China";39.91666667;116.383333
"3210";"Cramlington UK";55.086136;-1.5808;"China";39.91666667;116.383333
"3218";"NETHERLANDS - MSD Oss";51.76118;5.514048;"China";39.91666667;116.383333
"3224";"MSD Spain";40.463667;-3.74922;"China";39.91666667;116.383333
"3226";"MSD Haarlem";52.387388;4.646219;"China";39.91666667;116.383333
"3247";"BELGIUM - MSD Heist op den Bergh";51.339918;3.239687;"China";39.91666667;116.383333
"3251";"West Point - Bldg 56";40.209052;-75.296471;"China";39.91666667;116.383333
"3263";"Mirabel France";44.144405;1.419822;"China";39.91666667;116.383333
"3268";"Ballydine IRL";53.31666667;-6.233333;"China";39.91666667;116.383333
"3282";"IRELAND - MSD Swords";53.31666667;-6.233333;"China";39.91666667;116.383333
"3304";"Wilson NC";35.721269;-77.91554;"China";39.91666667;116.383333
"3339";"MSD Singapore South";1.283333333;103.85;"China";39.91666667;116.383333
